halqa_id,name,political_party,
NA-8,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-8,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-8,Hidayatullah Khan Afridi Advocate,Independent,61
NA-8,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-8,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-8,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-8,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-8,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-8,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-8,Pir Abdur Rehman,Independent,265
NA-8,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-8,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-8,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-9,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-9,Akram Khan,Independent,182
NA-9,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-9,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-9,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-9,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-9,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-9,Hidayatullah Khan Afridi Advocate,Independent,61
NA-9,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-9,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-9,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-9,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-9,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-9,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-9,Pir Abdur Rehman,Independent,265
NA-9,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-9,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-9,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-10,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-10,Akram Khan,Independent,182
NA-10,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-10,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-10,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-10,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-10,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-10,Hidayatullah Khan Afridi Advocate,Independent,61
NA-10,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-10,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-10,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-10,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-10,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-10,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-10,Pir Abdur Rehman,Independent,265
NA-10,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-10,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-10,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-11,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-11,Akram Khan,Independent,182
NA-11,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-11,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-11,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-11,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-11,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-11,Hidayatullah Khan Afridi Advocate,Independent,61
NA-11,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-11,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-11,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-11,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-11,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-11,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-11,Pir Abdur Rehman,Independent,265
NA-11,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-11,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-11,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-12,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-12,Akram Khan,Independent,182
NA-12,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-12,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-12,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-12,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-12,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-12,Hidayatullah Khan Afridi Advocate,Independent,61
NA-12,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-12,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-12,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-12,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-12,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-12,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-12,Pir Abdur Rehman,Independent,265
NA-12,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-12,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-12,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-13,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-13,Akram Khan,Independent,182
NA-13,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-13,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-13,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-13,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-13,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-13,Hidayatullah Khan Afridi Advocate,Independent,61
NA-13,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-13,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-13,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-13,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-13,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-13,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-13,Pir Abdur Rehman,Independent,265
NA-13,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-13,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-13,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-14,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-14,Akram Khan,Independent,182
NA-14,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-14,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-14,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-14,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-14,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-14,Hidayatullah Khan Afridi Advocate,Independent,61
NA-14,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-14,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-14,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-14,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-14,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-14,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-14,Pir Abdur Rehman,Independent,265
NA-14,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-14,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-14,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-15,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-15,Akram Khan,Independent,182
NA-15,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-15,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-15,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-15,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-15,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-15,Hidayatullah Khan Afridi Advocate,Independent,61
NA-15,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-15,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-15,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-15,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-15,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-15,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-15,Pir Abdur Rehman,Independent,265
NA-15,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-15,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-15,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-16,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-16,Akram Khan,Independent,182
NA-16,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-16,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-16,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-16,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-16,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-16,Hidayatullah Khan Afridi Advocate,Independent,61
NA-16,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-16,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-16,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-16,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-16,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-16,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-16,Pir Abdur Rehman,Independent,265
NA-16,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-16,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-16,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-17,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-17,Akram Khan,Independent,182
NA-17,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-17,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-17,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-17,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-17,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-17,Hidayatullah Khan Afridi Advocate,Independent,61
NA-17,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-17,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-17,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-17,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-17,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-17,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-17,Pir Abdur Rehman,Independent,265
NA-17,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-17,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-17,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-18,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-18,Akram Khan,Independent,182
NA-18,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-18,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-18,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-18,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-18,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-18,Hidayatullah Khan Afridi Advocate,Independent,61
NA-18,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-18,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-18,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-18,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-18,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-18,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-18,Pir Abdur Rehman,Independent,265
NA-18,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-18,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-18,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-19,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-19,Akram Khan,Independent,182
NA-19,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-19,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-19,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-19,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-19,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-19,Hidayatullah Khan Afridi Advocate,Independent,61
NA-19,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-19,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-19,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-19,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-19,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-19,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-19,Pir Abdur Rehman,Independent,265
NA-19,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-19,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-19,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-20,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-20,Akram Khan,Independent,182
NA-20,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-20,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-20,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-20,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-20,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-20,Hidayatullah Khan Afridi Advocate,Independent,61
NA-20,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-20,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-20,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-20,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-20,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-20,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-20,Pir Abdur Rehman,Independent,265
NA-20,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-20,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-20,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-21,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-21,Akram Khan,Independent,182
NA-21,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-21,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-21,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-21,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-21,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-21,Hidayatullah Khan Afridi Advocate,Independent,61
NA-21,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-21,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-21,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-21,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-21,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-21,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-21,Pir Abdur Rehman,Independent,265
NA-21,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-21,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
