Serial#,City,Province,Abbrivation,,
142,Kurram,Federally Administered Tribal Areas,FATA,,
143,North Waziristan,Federally Administered Tribal Areas,FATA,,
144,South Waziristan,Federally Administered Tribal Areas,FATA,,
145,Wana,Federally Administered Tribal Areas,FATA,,
,,,,,
146,Abbottabad,Khyber Pakhtunkhwa,KPK,,
147,Ayubia,Khyber Pakhtunkhwa,KPK, ,
148,Adezai,Khyber Pakhtunkhwa,KPK,,
149,Banda Daud Shah,Khyber Pakhtunkhwa,KPK,,
150,Bannu,Khyber Pakhtunkhwa,KPK,,
151,Batagram,Khyber Pakhtunkhwa,KPK,,
152,Birote,Khyber Pakhtunkhwa,KPK,,
153,Buner,Khyber Pakhtunkhwa,KPK,,
154,Chakdara,Khyber Pakhtunkhwa,KPK,,
155,Charsadda,Khyber Pakhtunkhwa,KPK,,
156,Chitral,Khyber Pakhtunkhwa,KPK,,
157,Dargai,Khyber Pakhtunkhwa,KPK,,
158,Darya Khan,Khyber Pakhtunkhwa,KPK,,
159,Dera Ismail Khan,Khyber Pakhtunkhwa,KPK,,
160,Drasan,Khyber Pakhtunkhwa,KPK,,
161,Drosh,Khyber Pakhtunkhwa,KPK,,
162,Hangu,Khyber Pakhtunkhwa,KPK,,
163,Haripur,Khyber Pakhtunkhwa,KPK,,
164,Kalam,Khyber Pakhtunkhwa,KPK,,
165,Karak,Khyber Pakhtunkhwa,KPK,,
166,Khanaspur,Khyber Pakhtunkhwa,KPK,,
167,Kohat,Khyber Pakhtunkhwa,KPK,,
168,Kohistan,Khyber Pakhtunkhwa,KPK,,
169,Lakki Marwat,Khyber Pakhtunkhwa,KPK,,
170,Latamber,Khyber Pakhtunkhwa,KPK,,
171,Lower Dir,Khyber Pakhtunkhwa,KPK,,
172,Madyan,Khyber Pakhtunkhwa,KPK,,
173,Malakand,Khyber Pakhtunkhwa,KPK,,
174,Mansehra,Khyber Pakhtunkhwa,KPK,,
175,Mardan,Khyber Pakhtunkhwa,KPK,,
176,Mastuj,Khyber Pakhtunkhwa,KPK,,
177,Mongora,Khyber Pakhtunkhwa,KPK,,
178,Nowshera,Khyber Pakhtunkhwa,KPK,,
179,Paharpur,Khyber Pakhtunkhwa,KPK,,
180,Peshawar,Khyber Pakhtunkhwa,KPK,,
181,Saidu Sharif,Khyber Pakhtunkhwa,KPK,,
182,Shangla,Khyber Pakhtunkhwa,KPK,,
183,Sakesar,Khyber Pakhtunkhwa,KPK,,
184,Swabi,Khyber Pakhtunkhwa,KPK,,
185,Swat,Khyber Pakhtunkhwa,KPK,,
186,Tangi,Khyber Pakhtunkhwa,KPK,,
187,Tank,Khyber Pakhtunkhwa,KPK,,
188,Thall,Khyber Pakhtunkhwa,KPK,,
189,Tordher,Khyber Pakhtunkhwa,KPK,,
190,Upper Dir,Khyber Pakhtunkhwa,KPK,,
,,,,,
191,Ahmedpur East,Punjab,PU,,
192,Ahmed Nager Chatha,Punjab,PU,,
193,Ali Pur,Punjab,PU,,
194,Arifwala,Punjab,PU,,
195,Attock,Punjab,PU,,
196,Basti Malook,Punjab,PU,,
197,Bhagalchur,Punjab,PU,,
198,Bhalwal,Punjab,PU,,
199,Bahawalnagar,Punjab,PU,,
200,Bahawalpur,Punjab,PU,,
201,Bhaipheru,Punjab,PU,,
202,Bhakkar,Punjab,PU,,
203,Burewala,Punjab,PU,,
204,Chailianwala,Punjab,PU,,
205,Chakwal,Punjab,PU,,
206,Chichawatni,Punjab,PU,,
207,Chiniot,Punjab,PU,,
208,Chowk Azam,Punjab,PU,,
209,Chowk Sarwar Shaheed,Punjab,PU,,
210,Daska,Punjab,PU,,
211,Darya Khan,Punjab,PU,,
212,Dera Ghazi Khan,Punjab,PU,,
213,Derawar Fort,Punjab,PU,,
214,Dhaular,Punjab,PU,,
215,Dina City,Punjab,PU,,
216,Dinga,Punjab,PU,,
217,Dipalpur,Punjab,PU,,
218,Faisalabad,Punjab,PU,,
219,Fateh Jang,Punjab,PU,,
220,Gadar,Punjab,PU,,
221,Ghakhar Mandi,Punjab,PU,,
222,Gujranwala,Punjab,PU,,
223,Gujrat,Punjab,PU,,
224,Gujar Khan,Punjab,PU,,
225,Hafizabad,Punjab,PU,,
226,Haroonabad,Punjab,PU,,
227,Hasilpur,Punjab,PU,,
228,Haveli Lakha,Punjab,PU,,
229,Jampur,Punjab,PU,,
230,Jhang,Punjab,PU,,
231,Jhelum,Punjab,PU,,
232,Kalabagh,Punjab,PU,,
233,Karor Lal Esan,Punjab,PU,,
234,Kasur,Punjab,PU,,
235,Kamalia,Punjab,PU,,
236,Kamokey,Punjab,PU,,
237,Khanewal,Punjab,PU,,
238,Khanpur,Punjab,PU,,
239,Kharian,Punjab,PU,,
240,Khushab,Punjab,PU,,
241,Kot Addu,Punjab,PU,,
242,Jahania,Punjab,PU,,
243,Jalla Araain,Punjab,PU,,
244,Jauharabad,Punjab,PU,,
245,Laar,Punjab,PU,,
246,Lahore,Punjab,PU,,
247,Lalamusa,Punjab,PU,,
248,Layyah,Punjab,PU,,
249,Lodhran,Punjab,PU,,
250,Mamoori,Punjab,PU,,
251,Mandi Bahauddin,Punjab,PU,,
252,Makhdoom Aali,Punjab,PU,,
253,Mandi Warburton,Punjab,PU,,
254,Mailsi,Punjab,PU,,
255,Mian Channu,Punjab,PU,,
256,Minawala,Punjab,PU,,
257,Mianwali,Punjab,PU,,
258,Multan,Punjab,PU,,
259,Murree,Punjab,PU,,
260,Muridke,Punjab,PU,,
261,Muzaffargarh,Punjab,PU,,
262,Narowal,Punjab,PU,,
263,Okara,Punjab,PU,,
264,Renala Khurd,Punjab,PU,,
265,Rajan Pur,Punjab,PU,,
266,Pak Pattan,Punjab,PU,,
267,Panjgur,Punjab,PU,,
268,Pattoki,Punjab,PU,,
269,Pirmahal,Punjab,PU,,
270,Qila Didar Singh,Punjab,PU,,
271,Rabwah,Punjab,PU,,
272,Raiwind,Punjab,PU,,
273,Rajan Pur,Punjab,PU,,
274,Rahim Yar Khan,Punjab,PU,,
275,Rawalpindi,Punjab,PU,,
276,Rohri,Punjab,PU,,
277,Sadiqabad,Punjab,PU,,
278,Safdar Abad – (Dhaban Singh),Punjab,PU,,
279,Sahiwal,Punjab,PU,,
280,Sangla Hill,Punjab,PU,,
281,Samberial,Punjab,PU,,
282,Sarai Alamgir,Punjab,PU,,
283,Sargodha,Punjab,PU,,
284,Shakargarh,Punjab,PU,,
285,Shafqat Shaheed Chowk,Punjab,PU,,
286,Sheikhupura,Punjab,PU,,
287,Sialkot,Punjab,PU,,
288,Sohawa,Punjab,PU,,
289,Sooianwala,Punjab,PU,,
290,Sundar (city),Punjab,PU,,
291,Talagang,Punjab,PU,,
292,Tarbela,Punjab,PU,,
293,Takhtbai,Punjab,PU,,
294,Taxila,Punjab,PU,,
295,Toba Tek Singh,Punjab,PU,,
296,Vehari,Punjab,PU,,
297,Wah Cantonment,Punjab,PU,,
298,Wazirabad,Punjab,PU,,
,,,,,
299,Ali Bandar,Sindh,Sindh,,
300,Baden,Sindh,Sindh,,
301,Chachro,Sindh,Sindh,,
302,Dadu,Sindh,Sindh,,
303,Digri,Sindh,Sindh,,
304,Diplo,Sindh,Sindh,,
305,Dokri,Sindh,Sindh,,
306,Gadra,Sindh,Sindh,,
307,Ghanian,Sindh,Sindh,,
308,Ghauspur,Sindh,Sindh,,
309,Ghotki,Sindh,Sindh,,
310,Hala,Sindh,Sindh,,
311,Hyderabad,Sindh,Sindh,,
312,Islamkot,Sindh,Sindh,,
313,Jacobabad,Sindh,Sindh,,
314,Jamesabad,Sindh,Sindh,,
315,Jamshoro,Sindh,Sindh,,
316,Janghar,Sindh,Sindh,,
317,Jati (Mughalbhin),Sindh,Sindh,,
318,Jhudo,Sindh,Sindh,,
319,Jungshahi,Sindh,Sindh,,
320,Kandiaro,Sindh,Sindh,,
321,Karachi,Sindh,Sindh,,
322,Kashmor,Sindh,Sindh,,
323,Keti Bandar,Sindh,Sindh,,
324,Khairpur,Sindh,Sindh,,
325,Khora,Sindh,Sindh,,
326,Klupro,Sindh,Sindh,,
327,Khokhropur,Sindh,Sindh,,
328,Korangi,Sindh,Sindh,,
329,Kotri,Sindh,Sindh,,
330,Kot Sarae,Sindh,Sindh,,
331,Larkana,Sindh,Sindh,,
332,Lund,Sindh,Sindh,,
333,Mathi,Sindh,Sindh,,
334,Matiari,Sindh,Sindh,,
335,Mehar,Sindh,Sindh,,
336,Mirpur Batoro,Sindh,Sindh,,
337,Mirpur Khas,Sindh,Sindh,,
338,Mirpur Sakro,Sindh,Sindh,,
339,Mithi,Sindh,Sindh,,
340,Mithani,Sindh,Sindh,,
341,Moro,Sindh,Sindh,,
342,Nagar Parkar,Sindh,Sindh,,
343,Naushara,Sindh,Sindh,,
344,Naudero,Sindh,Sindh,,
345,Noushero Feroz,Sindh,Sindh,,
346,Nawabshah,Sindh,Sindh,,
347,Nazimabad,Sindh,Sindh,,
348,Naokot,Sindh,Sindh,,
349,Pendoo,Sindh,Sindh,,
350,Pokran,Sindh,Sindh,,
351,Qambar,Sindh,Sindh,,
352,Qazi Ahmad,Sindh,Sindh,,
353,Ranipur,Sindh,Sindh,,
354,Ratodero,Sindh,Sindh,,
355,Rohri,Sindh,Sindh,,
356,Saidu Sharif,Sindh,Sindh,,
357,Sakrand,Sindh,Sindh,,
358,Sanghar,Sindh,Sindh,,
359,Shadadkhot,Sindh,Sindh,,
360,Shahbandar,Sindh,Sindh,,
361,Shahdadpur,Sindh,Sindh,,
362,Shahpur Chakar,Sindh,Sindh,,
363,Shikarpur,Sindh,Sindh,,
364,Sujawal,Sindh,Sindh,,
365,Sukkur,Sindh,Sindh,,
366,Tando Adam,Sindh,Sindh,,
367,Tando Allahyar,Sindh,Sindh,,
368,Tando Bago,Sindh,Sindh,,
369,Tar Ahamd Rind,Sindh,Sindh,,
370,Thatta,Sindh,Sindh,,
371,Tujal,Sindh,Sindh,,
372,Umarkot,Sindh,Sindh,,
373,Veirwaro,Sindh,Sindh,,
374,Warah,Sindh,Sindh,,
