name,leader,designation_id,address
bahawalpur national awami party,nawab salahuddin abbasi,chairman,"house no.13-b,younas shaheed road, model town a, bahawalpur."
bala pir tehreek sadat party pakistan,syed noor-ul-hasan shah gillani,president,"ghouspur chak no.11/1/b, post office15/1-r, tehsil and district okara."
balochistan national congress,abdul hakim lehri,president,"headquarter office, balochistan national congress thana road, quetta. ph:821201"
balochistan national democratic party,sardar sanaullah khan zehri,president,"22-g, khayaban-e-sahar, defence housing auithority,  karachi"
balochistan national movement,dr.abdul hayee baloch,president,"faiz abad, saryab road, quetta"
balochistan national party,sardar akhter jan mengal,president,"istaqlal building, quarry road, quetta. phone:081-833869"
balochistan national party (awami),mir israrullah zehri,president,"baldia plaza,  mezan chowk, quetta."
bedar pakistan,abdul razak mian,president,"camp headquarter 68-e molana shokat ali road, johar town, lahore. ph: 042-6114801"
christian progressive movement,mrs. naila dayal,president,"flat no6, 2nd floor sana apartments diplomatic, enclave g-5, islamabad. ph:051-2600440"
communist party of pakistan,engineer jameel ahmad malik,central chairman,"communist party secretariat,1426-fateh jang chowk,attock"
front national party,na,na,na
general pervez musharaf himayat tehreek,malik arshad mahmood awan,president,"lord center, shop # 1, f-10 markaz islamabad."
ghareeb awam party,syed farrukh kamal hussaini,president,"masood chambers m.a. jinnah road, karachi"
haqiqi jamote qaumi movement,"sardar muhammad wazir-ul-qadri,",chairman,"jamia ghousia sultana, rind ali post office dhardar , district bola, balochistan, mob no.0301- 3725899"
hazara awami ittehad pakistan,haji imran khan jadoon,chairman,"central secretariate hazara awami ittehad, phool ghulab road, mirpur, abbottabad. ph:0992 522345, cell: 03145034876."
hazara democratic party,abdul khaliq hazara,chairman,"alamdar road, sar-e-medani, quetta"
hazara qaumi mahaz,qazi mohammad azhar,markazi chairman,"ashraf market, fawara chowk, abbottabad (hazara) ph: 0992-341465,330253, fax: 0992- 335448 cell 0332-5005448"
human development movement,mr. muhammad kamran,central chairman,"house no. 2, aham street, new stallite town, sargodha"
independent  ,&nbsp;,&nbsp;,&nbsp;
islami inqalab party,dr. allama ayaz zaheer hashimi,markazi chairman,"markazi office 56/62, second floor, bank road, saddar, rawalpindi."
islami nazriati tehreek pakistan,mr. zahid afzal,founder chairman,"house no. c-402, gardaizi market, gulgash colony, multan. cell no.0333-8370990, 0333- 8562220"
islami peoples party,mr. khurshid anwar qureshi,president,"house no.302/b, chour harpal, peshawar road, rawalpindi."
islami siasi tehreek,abdul majeed haidari,president,"central secretariat: batala p.o kahota, district rawalpindi"
islami tehreek pakistan,syed sajid ali naqvi,president,"35-a, satellite town, rawalpindi ph: 4421159 fax:4451150"
islamic law pakistan party,muhammad asif khan,chairman,"mehboob medical store, village talah, timergarah, district lower dir."
islamic republican party,sultan alam,president,"co-ordination office, house no.199, street bi.2, phase-1, airport housing society, rawalpindi"
istehkaam-e-pakistan movement party,mr. muhammad ashraf khan niazi,chairman,"house no.19/b, mohallah sher man khel, miawali, contect no.0300-6820349"
istiqlal party,syed manzoor ali ghllani,chairman,"ramzan centre, opposite: opd, mayo hospital, 13-ratan chand road, lahore. ph:042-7313590, 7353063 fax:042-7353641."
ittehad alam-e-islam,jan muhammad,chairman,"shop no.6, r/o haveli malkan wali, bhamba kalan, tehsil kot radah kishan, district kasur."
ittehad milli hazara,abdul majeed haidry,president,"central office block no.4,hazara town, quetta."
jamaat ahle hadith pakistan (ropri),hafiz abdul ghafer rooberi,ameer,"nishter road, chowk dalgran, lahore. ph:042- 7656730-7670968 fax: 659847"
jamaat-e-islami pakistan,syed munawar hasan,ameer,"mansoora, multan road, lahore.ph: 042- 7844605-9/5419520-24 fax: 7832194"
jamait ahle-hadith pakistan(elahi zaheer),allama ibtisam elahi zaheer,nazim-e-ala,"markazi office: 53 larnas road, lahore. ph: 042- 7537312.cell: 0300-8837032"
jamhoori wattan party,nawabzad tahlal akbar bughti,president,"r-1161, 1st floor, block no.9, dastagir society, f.b area, karachi cell 0332-3015099, 0336- 2613627"
jamiat ulama-e-islam (f),maulana fazal-ur-rehman,ameer,"jamia-al-moarf-, al-sharia, dera ismail khan ph: 0961-740440-555 central office:jamia madnia, kareem park,"
jamiat ulama-e-islam (s),maulana sami -ul-haq,president,"jamia haqqania, akoro khattak, nowshera. ph:0923-630340-630076 fax:0923-630922 , standing committee religious & minorities affairs office islamabad ph:051-9223957 fax:051-"
jamiat ulama-e-pakistan  (noorani),peer ejaz ahmed hashmi,president,"central office: dareulema jamia muhamidi razvia, fardoose market, gulberg-iii, lahore ph:042-5866737-5851080, fax: 042-5855815 cell: 03002174494"
jamiat ulema-e-pakistan,"zubair kayani,",president,"house no.266, street no.34, block-c, pwd hosing society, islamabad."
jamiat ulema-e-pakistan (niazi),pir syed muhammad masoom hussain shah naqvi,markazi president,"central secretariat , house no. 3-b, street no. 41-b, g-7/2, islamabad."
jamiat ulema-e-pakistan (nifaz-e-shariat),engr. muhammad saleem ullah khan,president,"459-saggar road, sadar bazar, lahore cantt."
jamiat ulma-e-pakistan (sawad-e-azam),syed muhammad mahffuz mushadi,president,"markazi secretariat, 69/b, faisal town, lahore. mobile no. 0300-7741275"
jamiat–e-mushaikh pakistan,pir fazal haq,president,"central secretariat  data plaza, 2nd floor, room no.5, scheme more, multan  road, lahore"
jamote qaumi movement,mir abdul majid abro,chairman,jamote house dera murad jamali balochistan
jannat pakistan party,dr. asarulislam syed,president,"office # 3, 1st floor zeeshan plaza, wahdat colony, main adyala road, rawalpindi tel no. 05143041412 cell: 03215510168."
jeev-e-pakistan party,dr. irfan latif,chairman,"central office 1st floor, saleem manzil, 2- mozang road, lahore."
jumiat ulma-e-islam(nazryati),maulana asmattullah,markazi ameer,"nawa killi, madrssa taleem-ul-quran, mahmoodabad, quetta mob no.0333-7800811"
justice and development party pakistan,"mr. tariq bashir,",central executive,"marala road, muradpur, ferozecolny, near masjid taiba, p.o.godhpur, sialkot"
kakar jamhoori party pakistan,sardar muhammad ashraf kakar,president,"office no.38, baldia plaza, meezan markeet, quetta."
karwan-i-millat pakistan,lt.col � aizaz haider,chairman,"greenwood housing, 1-km, kasur road, rahwind."
khud mukhtar pakistan party,khalid munir khan,president,"house no.3, street no.53, f-8/4, islamabad call no. 0300-5002139"
khyber union,mr. muhammad aras kanday shahi khel,president,"umer khan khel, kalanga kaka khel post office and tehsil bara, district khyber agency."
law of quran nizam-e-mustafa.,muhammad sarwar tayyab,central chairman,"tarar house, dhani kalan, tehsil phalia, mandibahuddin."
lower middle party,"zafar awan,",chairman,"awan house, dad khana arreian, dhok bdala, tehsil kotleen sattioan, district rawalpindi."
madadgar pakistan,mr. parvez amin,chairman,"gulkalee, harbanspura road, lahore. contect no. 042-6635278"
majlis-e-wahdat-e-muslimeen pakistan,mr. muhammad aminshaheedi,senior vice chairman,"house no.16, street no.67, g-6/4, islamabad mob: no.0345-5050190, phone and fax no.051- 2824430"
markazi jamaat ahle hadieth (zubair),allama hafiz zubair ahmad zahir,markazi ameer,"head office: jamia umer bin abdul aziz, firdus market, gulberg iii , lahore.ph: 5882570.fax: 5868170"
markazi jamiat ahle hadith (lakhwi group),molana moon-ud-din lakhwi,chief  patron,"jamia muhammadia haq bazar, okara ph: 0442524259."
markazi jamiat al- hadith  (sajid mir),mr. sajid mir,president,"markazi jamiat ahl-e-hadith pakistan, 106, ravi road, lahore"
markazi jamiat mushaikh pakistan,pir syed muhammad makhdoom gillani,president,"house no. street no. 17, sch.#3,chaklala rawalpindi ph: 051-7113247"
markazi jamiat ulema-e-pakistan (sharif rizvi),mr. muhammad sharif rizvi,president,"safdar hall, main ferozepure road, achara, lahore.cell no: 0300-7741275"
masih awami party,emmanuel zafar,qauid,"admin/701, taxali gate, lahore. ph:042-7671285"
menecracy action party,mr. muhammad tahir khan,president,"house no.405/kjoiya cottage, near pso bulk oil deport, multan road vehari"
millat party,farooq ahmad leghari,president,"20 bridge colony, lahore, cantt."
mohajir ittehad tehrik,dr. saleem haider,chairman,"2nd floor, al-haroon building, garden road, saddar, karachi, ph:021-2771458-2736770"
mohajir kashmir movement,kashif hussain dutt,president,"chinar house, ne # 1534-ab, st no:6, national town, chaklala road, rawalpindi. 051-5963646 /03335118610"
mohajir qaumi movement pakistan,afaq ahmed,chairman,"house no.79, area 36/e, landhi no.6, karachi. bait-ul- hamza landhi no.2,karachi-75160 p.o.box 15802"
mohib-e-wattan movement,mr. abdul khaliq,chairman,"57-b, new muslim town, lahore ph no.042- 808541 mob. no.0300-8602518"
mohib-e-wattan nowjawan inqilabion ki anjuman (mnaka),ch. muhammad asghar,president,"saddar daftar, 45-miltary accounts colony, mustafaabad, lahore."
move on pakistan,mr. muhammad kamran,president,"ace news building, sargodha road, faisalabad contect no. 0418811017, 19"
muhib-e-wattan roshan pakistan,mr. ameer ali pattiwala,chairman,"markaz roshan pakistan: teen hatti chowk, jahangir road near dargah noori shah baba, karachi.contact no.0300-2853441"
muslim movement pakistan,syed hasnain raza kazmi,chairman,"head office: imam hussain modern village sham k bhatian multan road, lahore"
mustaqbil pakistan,nadeem m. qureshi,chairman,"first floor 11-a, main wahdat road, opposite gohar center, lahore tele no.04237502984"
mutahida baloch movement pakistan,wadera rab nawaz khan murri,central chairman,"behid shell pump, al-jazara jasian hotel road, shaeed chock, dera ghazi khan, cell no.0829503748, 0336-6923388"
mutahida deeni mahaz  ,&nbsp;,&nbsp;,&nbsp;
mutahida karwan-e-pakistan party,ch. arshad ali anjum,chairman,"office no.20, district courts area, f-8 markaz, islamabad tel no. 051-2552044"
mutahidda qabail party,habib malik orakzai,chairman,"office no.12-id, 2nd floor, rehmat plaza nazimuddin road, blue area, islamabad call no.051-2828791"
muttahida muslim league,chaudhry nasir mahmood advocate,chairman,"e-240, street no.7, main academy road, gulbahar colony, lahore"
muttahida qaumi movement pakistan,dr. farooq sattar,deputy convener,494/8 azizabad karachi ph: 021-6313690 / 6329900/6329131 fax: 6329955
muttahidda aman party,jehanzeb babar,chairman,"house no.438, street no.4, sector f/8, phase-6, hayatabad, peshawar."
muttahidda awami ittehad party,mir zabreen karim murre,president,"syed ullah shah murre house, near bolan colony tehsil, district khuzdar, balochistan."
muttahidda jamiat ulama-e-pakistan,mian ghulam shabbir qadri,markazi president,"house no.490, 2-b/1, green town, lahore"
muttahiddah jamhoori wattan party aali,nawab muhammad mir aali bughtti,president,"kot nawab, tehsil & district sanghar"
mutthida�majlis-e-amal�pakistan,qazi hussain ahmed,president,"mansoora, multan road, lahore.ph: 0425419520- 24 fax: 5432194"
national awami party,eng. syed tassaduq hussain,general secretary,"14-k, commercial area, dha , cantt. lahore."
national justice party,mr. naroon-ur-rashid naushahi,chairman,"chamber no.01, ifftikhar plaza, district court, faisalabad. mob no.0321-6795476"
national party,dr.abdul malik baloch,president,"central secretariat national party rustam jee lane, near press club,  quetta. ph:081-826522 fax:2842335"
national peace & justice party,ch. muhammad ali,founder/chairman,"office no.15, first floor taj mahal plaza sadiqabad chowk, rawalpindi. ph: 051-4450830 , mob: 0300-9735090"
national peoples party,ghulam murtaza khan jatoi,chairman,"18- khayaban-e- shamshir, defence housing authority, phase v, karachi. ph:021- 5854522,5854533"
national peoples party workers group,muhammad ashraf zaib,chairman,"office double story no: 4, sector :5-g, north karachi"
national�alliance,"mr.ghulam mustafa jatoi,",president,"jatoi house 18-khyaban-e- shamshir , defence housing society,                                        karachi"
nazaria pakistan tehreek.,muhammad arshad taqi,chairman,"house no.218, m-c, street no.7, green town, karachi."
nizam-e-mustafa party,hanif tayyab,president,"117/44 , depot line oppoiste, imperss, market, saddar, karachi.ph: 021-2787730"
pak justic party (haqiqi),mr. haroon ahmed,khadim aala,"mohalla mera khel, village &  p.o yar hussain, tehsil lahor, district swabi. cell no.0345- 9691504"
pak muslim alliance,haji muhammad rafiq,president,"national secretaiate,: 504, panorama center-ii, raja ghazanfar ali road, saddar, karachi. ph:021- 5654882. fax:0215654881"
pak wattan party,syed shujaat ali bukhari,chairman,"central secretariat, dosal arcade m-6, 47, blue area, islamabad.ph: 051282295 fax: 0512270961"
pakhtoonkhwa qaumi party,muhammad afzal khan,president,"darosh khela, swat"
pakistan amn party,haji m. gulzar awan,chairman,"lane # 4, near wing bakers peshawar road rawalpindi cantt  ph: 051-5463934-6. fax: 051- 5463938"
pakistan awami inqalab,dr. muhammad aziz khan,chairman,"qalandar khan, plaza, nawansher, abbottabad contect no.0514444889"
pakistan awami quwat party,syed feroz ahmad quadri,chairman,"flat no:402,  mehwish apartment, block""n"" north nazimabad, karachi. ph:0216678686/03452310966"
pakistan awami tehreek,mr. raheeq ahmed abbasi,president,"central secretariat: 365-m, model town, lahore and other add: house no. 7, street no. 21, f-8/2 islamabad.ph: 285699.fax: 2856969"
pakistan awami tehrik-e-inqilab,prof. aftab ahmed khan lodhi,chairman,"house no.286, lane.6 askari complex, walton, gulberg-iii, lahore"
pakistan bachao party,makhdoom    m.    duryab    yousaf qureshi-al-hashmi,chairman,"central secretaiat: pakistan labour & human rights center, 127-a, faisal town lahore. ph: 042-5176127,5164255  cell: 0300-4150749"
pakistan basic rights movement,ch. shoukat ali thothal,chief organizer,"jinnah colony, rohtas road, jhelum"
pakistan brohi party,imam ali brohi,president,"brohistan house, new rani pur borhi abad, district khairpur , sindh. cell no.0300-2933719"
pakistan citizen movement,mr. nadeem butt,president,"111-d, markaz palaza, main market, gulberg-ii, lahore. ph: 042-5027113-5027114"
pakistan conservative party,danish channa,chairman,"d-3, 4th floor, aamir chamber, block 13-a, gulshan-e-iqbal, karachi."
pakistan democratic league (pdl),arshad waheed,chairman,"pha apartments, block14, apartment no. 5, g- 8/4, islamabad."
pakistan democratic party,nawabzada mansoor ahmad khan,president,"office: 8-davis road, lahore ph:0300-4220430- 0300-4248506"
pakistan development party,kashif rana,chairman,"headquarters address, 786-but street, green park, shalamar town, lahore."
pakistan dharti maan party,rai muhammad nawaz malik,chairman,"89-muslim town, d.g. khan, ph: 0642471147"
pakistan falah party,sohail akhter khan niazi,president,"786, first floor gold chamber plaza, naz cinema stopm murree road, rawalpindi. ph no.03455822222"
pakistan fatima jinnah muslim league,syed baqar ali shah gailani,president,"r-179, ground floor, block-9, asifnagar, dastgir, f.b. area, karachi-75950"
pakistan freedom party,sardar naseer ahmed,chairman,"head office: p.m.a house opposite t.m.a. office, liaqat road rawalpindi ph: 051-5534711 cell no. 0333-5365313"
pakistan gharib party,miss. mahwish chaudhary,president,"chamber no. 256 district court fasialabad ph:041-260077-2627007 mobile:0302-7035007, 0302-6067400"
pakistan ghurba party,mr. mumtaz hussain niazi,chairman,"suit no.3rd , 5th floor, davis heights, davis road, lahore. contect no. 0321-9445060"
pakistan green party,liaquat ali,national chairperson,"house no:d-37, naseem nagar phase-iii qasimabad, hyderabad. 03337343745"
pakistan hizbullah party,muhammad amin,president,"house no.49, street/mohallah misrial road, akseer plaza, chore chowk, islamabad."
pakistan hum wattan party,dr. nasir ahmed khan,chairman,"central office, 321, w block, phase-iii, l.c.c.h.s, lahore"
pakistan human party,syed salman mohsin gillani,chairman,"head office qubbla house pak patan, 0300- 6944401-4"
pakistan inqilabi khidmatgar tehreek,mr. iqbal nadeem sial,leader qaid/chairman,"abbas building no.13, fan road(near high court), lahore. contect no. 042-36160280, cell no. 0312-9417192, 0300-9417192, 0321- 9417192"
pakistan insani haqook party (pakistan human rights party),"mr. khalid aftab sulehri,",founder chairman,"house no.921, street no, 80, sector i-8/3, islamabad contect no.0301-8503075"
pakistan islami justice party,mr. muhammad idress,president,"cheneoti gate, street no.3, chack jhumra district faisalabad mob no. 0321-7658589"
pakistan ittehad tehreek,muhammad yusuf kureshy,chairman,"al- haj muhammad yusuf kureshy, 14, japan mansion, preedy street, saddar karachi  ph: 021- 2722458/2255537"
pakistan ittehad yaqeen tanzeem party,tariq mahmood,president,"c/200 maidan-e-pakistan, shumali mohallah, jhelum city"
pakistan jamhoori ittehad,mr. muhammad jamil,president,"house no.p-42, islampura chichawatni contect no.03006933528"
pakistan jumhuri aman party,s.m. nisar safdar naqvi,chairman,"21-haji chamber, 4 mozang road, lahore"
pakistan justice party,malik munsif awan,chairman,"office no.1 turner road, high court, lahore. ph: no.0300-4725752"
pakistan kissan ittehad,ch. muhammad anwar,chairman,"street no.1, block ""x"", near madni chowk, new multan ph. no.061-6560659 cell no.03008638900"
pakistan liberation league,"dr. hadayatullah minhas,",markazi secretary general,"central secretariat office no.2, first fllor national business center, murree road, shamsabad, rawalpindi."
pakistan maqsad himayet tehrik,jan alam,markazi chairman,"no. 14 welayat plaza, reham abad, murree road, rawalpindi. head office: i-8/4, st:110, islamabad. ph:4582423-4449656"
pakistan mashihi league,"dr. john jee,",chairman,"house no.5, risala line, peshawar cantt contect no.0336-9200414"
pakistan mazdoor kissan party,s.m. altaf,central president,"ground floor, main enterance of piia auditorium, pha building din muhammad wafai road off aiwan-e-sadar road, karachi ph: 021- 35220733"
pakistan motherland party,muhammad akbar,founder co- chairman,"willa no: 847, street no: 49, sector 1-10/1, islamabad."
pakistan muhafiz party,yousaf shah,president,"head office: house no: 209, street: 33,  sector g-8/2, islamabad. ph: 051-5389555, 2853894,fax: 051-2853894"
pakistan muhafiz watan party,malik ahmad khan awan,chairman,"ahmed colony, near emco factory, lahore road, sheikhupura, contect no.0300-9416645"
pakistan muhajir league  ,&nbsp;,&nbsp;,&nbsp;
pakistan muhammadi party,meherban sain rana abdul ghafoor mian,khadim aala pakistan,"central office canal colony road,near p.c. headquarter, farooqabad, district sheikhupura. ph no.03334024392"
pakistan muslim league,ch. shujaat hussain,president,"central secretariat: 4, margalla road, sector:f- 7/3, islamabad. ph: 051-111-00-1947, 2828073, fax: 051-2827870"
pakistan muslim league (f),pir sibghatullah shah pir pagara,president,"15, jail road, lahore. ph: 042-7569679 - 7578634 .cell: 0300-4202959 *************   kingri house:1, kda scheme # 1 , karsaz road, karachi ph:021-4926300"
pakistan muslim league (j),muhammad iqbal dar,president,"house no.8, street no.89, g-6/3, islamabad051- 2828228"
pakistan muslim league (muttahida),fahad mahmood,chairman,"61-a/i, johar town, lahore cell no. 03214041733"
pakistan muslim league (n),mian muhammad  nawaz sharif,president,"pml-n secretaiat, 20-h, street# 10, f-8/3, islamabad. ph: 051-2852661/62. fax: 051- 2852663"
pakistan muslim league (nazaryati),ch. ishtiaq ahmed minhas,president,"179-h, margzar officer society, multan road, lahore mon.0320-4629562"
pakistan muslim league (qasim),dr. qari ashfaq ullah,central president,"baghichi sethan baghbanpura, lahore cell: 0300- 4412388-0300-4412387"
pakistan muslim league (qayyum group),khan amanullah khan,president,"80/1, khayaban-e-shujat, phase-iv,defence housing authority, karachi. 03222259416"
pakistan muslim league (safdar),safdar zaman hazarvi,president,"p.o.box machis factory, jhangi lamba mehra, tehsil and district, abbottabad."
pakistan muslim league (sher-e-bangal),"qadir khan mandokhail, advocate",president,"suit no.14, sr. 7/39, zamindar building, campbell street, m.a. jinnah road, near city court karachi. ph:021-2636065  fax: 2211527"
pakistan muslim league (zehri group),mir zarak zehri,central president,"6-jail road, quetta, ph no.2833864, mob no. 0334-4380651"
pakistan muslim league “h” haqiqi,mr. naveed akhtar khan,founder leader,"2nd floor, 320 z block, commercial area, silk bank bilding, phase 3 d.h.a lahore"
pakistan muslim league council,sardar muhammad nasrullah,president,"h-2, 6/a, mason road, lahore call no.0321- 4152999"
pakistan muslim league democratic,dr. ebadulla,president,"house no.240, major road, sector f-11/4, islamabad"
pakistan muslim league humkhiyal (like minded),mulazim hussain,chairman,"central secretariat, house no.4-b, street no.56, near saadi road, islampura, lahore. ph no.04237117695"
pakistan muslim league(z),muhammad ijaz-ul-haq,president,"146-b, murree road, rawalpindi cantt. ph.#558266"
pakistan national democratic party,mr. khadim pervez masih,chairman,"secretariate house no.15, street no.1, kot khuwaja saeed, mandar kalu ram christian abadi dhopsari, lahore cell: 0343-4500958, 0312-4422581 website"
pakistan national muslim league,amjad ali warriach,chairman,"asad plaza,main gate, jinnah colony,faisalabad."
pakistan overseas league,dr.m. shahbaz mirza,founding chairman,"59-abdail road, 34/4 sant nagar, lahore."
pakistan patriotic movement,mr. abdul rasheed yousafzai,chairman,"main office house # 44, street-12, sector k3, phase-iii, hayatabad, peshawar"
pakistan people’s alliance,"amir choudhry,",chairman,"plot no:224, street no.1, i-10/3, islamabad."
pakistan peoples movement,muhammad ashfaq choudhary,chairman,"g-341, dav college road, rawalpindi."
pakistan peoples party,sardar latif khan khosa,secretary general,"house no.8, street no.19, sector f-8/2, islamabad ph. no.051-2255264"
pakistan peoples party (shaheed bhutto),ghinwa bhutto,chairperson,71-clifton karachi-75600 ph:021-5865370/1 fax:021-5861224
pakistan peoples party parliamentarians,makhdoom amin fahim,president,"house no. 1, street no. 85, g-6/4, islamabad. ph: 051-2276014-15 fax: 051-2276016"
pakistan peoples party parliamentarians (patriots),&nbsp;,chairman,"central secretariat,  h.no:11, street no:87, sector:g-6/4, islamabad.****************** astania rao sahib, okara city, okara."
pakistan peoples requirement party,mr. muhammad waris,chairperson,"house no.6, street no.90, ghazi park, new shad bagh, lahore."
pakistan progressive party,rashid ahmed,president,"48-c, toheed commerical, d.h.a.,    phase- v, karachi."
pakistan progressive party (haqiqi),professor muhammad aslam,president,"chak no.95, tda, tehsil cror lal essan, district layyah"
pakistan progressive party (suraya farman group),begum surriya farman,chairperson,"2-a, nazim-ud-din road, f-6/1, islamabad."
pakistan qaumi league,qamar-ul-islam,president,"office no. 1/5-6,abid chambers (al-yousuf chambers), shahrah-e- liaquat, karachi ph:021- 2620502/2217664/2212124"
pakistan qaumi movement,syed mohammad iqbal kazmi,chairman,"house no.10/i-2 model colony, karachi pakistan cell no.0345-3236936"
pakistan qaumi party,muhmood ahmed khan qalander,president,"central secretariat: p-26/1, new civil lines, faisalabad. ph: 041-8847693,"
pakistan qaumi tehrik-e- azadi,ali obaid,president,"headoffice: 35, saroba garden, ferozpur road, lahore."
pakistan rah-e-haq party,ibrahim qasmi,president,"head office, mohalla farooq-e-azam, landi arbab, peshawar."
pakistan republication party,mr. saif-ul-islam khan,president,"mohammad azam hussain (advocate high court) information secretary prp, contect no. 03215359996"
pakistan sariaki party,barrister taj muhammad khan langah,president,"centeral secretariat, 2523/9-h, near high court jail road, multan"
pakistan shia political party,syed nau bahar shah,president,"sikandar house 103-c new musltim town, lahore."
pakistan social democratic party,ch. muhammad riaz gondal,president,"head office suite no.5, twin city plaza,  markaz i-8/3, islamabad"
pakistan social justice party,akhtar shah,president,"13 fane road, asif chamber lahore. ph: 042- 7357386, fax: 7358914"
pakistan sunni tehreek,muhammad sarwat ejaz qadri,president,"central office: 1st, floor, main plaza, baba-e- urdu road, near civil hospital, karachi. ph:021-27754"
pakistan tehreek-e-insaf,imran khan,chairman,"p.o.box 1594, h.no:2, street no: 84,  sector: g-6/4, islamabad ph: 0512270744 fax: 051- 2873893"
pakistan tehreek-e-paigham,karim khan,president,"al-rahmat plaza, hall road, lahore."
pakistan tehrek-e-inqalab,alamgir khan,president,"flat no. 15, al-faisal plaza, g-8 markaz, islamabad. ph: 051-2252954.cell:0333-5352581"
pakistan united inqalab party,sardar muhammad iqbal gujjar,president,"house no.134, street no.7,bahria town, islamabad call no. 0302-6111918"
pakistan welfare league,chaudhry nadeem akhtar,president,"house no.1765, street no.79, sector i-10/1, islamabad"
pakistan women muslim league.,mst. rubina shaheen,"chairperson,","shahid plaza, university road, peshawar."
pakistan workers party,nasrullah khan kakar,chairman,"room no.14, regal plaza, jinnah road, quetta."
pakistan young blood christian league,mr. iqbal khan,chairman,"house no.71, street no.3, awan market ferozepur road, lahore."
pakistanmeo ittihad,abid hameed khan meo,chairman,"office no.24, first floor,moeencenter 20, abbot road, lahore."
pasban,prof. javeed sandhu,president,"central secretariat: 128, j.c.h.s., block 7/8, p.e.c.h.s., karachi ph: 021-5400101   fax: 021- 4389370"
pasban pakistan.,altaf shakoor,president,"house no.236/8, adamjee nagar, k.c.m.s, karachi."
pashtoon quomi tehreek,rafique pashtoon,chairman,"central office: suraj gunj bazar, quetta ph:081- 2837314, karachi:021-2729638"
pashtoonkhwa milli awami party,mahmood khan achakzai,chairman,"central secretaiat jinnah road/club road, quetta. ph: 081-839500/820368"
peoples democratic league,mr. muhammad hanif ullah,chairman,"head office:7, taqi block district courts sheikhupura."
peoples muslim league pakistan,haji sher khan nohri,president,"u/c aki pathro, tehluka tattro, district umerkot"
peoples revolutionary congress pakistan,syed saif-ul-islam khalid,central president,"10-c, stallite town, rawalpindi"
progressive democratic party,abdul rehman shawani,president,"room no.10, al-syed bulding, near public health school, jinnah road, quetta."
